185	225	103	2017-06-07 22:37:47	2017-06-07 22:37:47
967	496	807	2017-08-12 18:57:59	2017-08-12 18:57:59
966	90	806	2017-08-12 18:56:41	2017-08-12 18:56:41
188	8	104	2017-06-07 22:41:21	2017-06-07 22:41:21
189	22	104	2017-06-07 22:41:21	2017-06-07 22:41:21
903	311	698	2017-07-15 23:50:28	2017-07-15 23:50:28
191	3	105	2017-06-07 22:46:04	2017-06-07 22:46:04
904	47	702	2017-07-17 21:13:39	2017-07-17 21:13:39
905	441	703	2017-07-17 21:17:36	2017-07-17 21:17:36
906	442	705	2017-07-17 22:08:19	2017-07-17 22:08:19
195	1	108	2017-06-07 22:52:55	2017-06-07 22:52:55
196	117	109	2017-06-07 23:01:01	2017-06-07 23:01:01
907	91	705	2017-07-17 22:08:20	2017-07-17 22:08:20
908	443	707	2017-07-17 22:14:20	2017-07-17 22:14:20
909	28	708	2017-07-17 22:17:10	2017-07-17 22:17:10
200	178	111	2017-06-07 23:08:49	2017-06-07 23:08:49
910	245	709	2017-07-17 22:21:14	2017-07-17 22:21:14
202	262	112	2017-06-07 23:14:30	2017-06-07 23:14:30
911	47	709	2017-07-17 22:21:14	2017-07-17 22:21:14
912	309	711	2017-07-17 22:27:09	2017-07-17 22:27:09
205	3	115	2017-06-07 23:19:50	2017-06-07 23:19:50
913	446	720	2017-07-17 23:02:27	2017-07-17 23:02:27
914	445	720	2017-07-17 23:02:27	2017-07-17 23:02:27
208	11	117	2017-06-07 23:30:28	2017-06-07 23:30:28
915	212	721	2017-07-17 23:09:41	2017-07-17 23:09:41
916	10	722	2017-07-17 23:11:44	2017-07-17 23:11:44
211	146	119	2017-06-07 23:38:24	2017-06-07 23:38:24
917	1	723	2017-07-17 23:13:53	2017-07-17 23:13:53
213	230	120	2017-06-07 23:39:59	2017-06-07 23:39:59
918	14	724	2017-07-17 23:46:23	2017-07-17 23:46:23
919	68	726	2017-07-17 23:52:33	2017-07-17 23:52:33
216	238	122	2017-06-07 23:50:09	2017-06-07 23:50:09
920	34	727	2017-07-17 23:55:08	2017-07-17 23:55:08
218	264	123	2017-06-07 23:54:16	2017-06-07 23:54:16
921	230	728	2017-07-17 23:59:07	2017-07-17 23:59:07
220	263	123	2017-06-07 23:54:16	2017-06-07 23:54:16
922	256	728	2017-07-17 23:59:07	2017-07-17 23:59:07
